Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 8,15,Good (670-739),3587.585609747382,0.06779168982398713
Merchant 8,15,Fair (580-669),3077.6027686206703,0.06779168982398713
Merchant 8,15,Poor (300-579),1456.2230585843538,0.06779168982398713
Merchant 8,16,Exceptional (800-850),1526.1189442924542,0.06779168982398713
Merchant 8,16,Very Good (740-799),2512.331470843752,0.06779168982398713
Merchant 8,16,Good (670-739),3830.794100620377,0.06779168982398713
Merchant 8,16,Fair (580-669),3286.238660912448,0.06779168982398713
Merchant 8,16,Poor (300-579),1554.9428804864426,0.06779168982398713
Merchant 8,17,Exceptional (800-850),1629.577126398439,0.06779168982398713
Merchant 8,17,Very Good (740-799),2682.646666650233,0.06779168982398713
Merchant 8,17,Good (670-739),4090.490106069193,0.06779168982398713
Merchant 8,17,Fair (580-669),3509.018332900619,0.06779168982398713
Merchant 8,17,Poor (300-579),1660.3550859343966,0.06779168982398713
Merchant 8,18,Exceptional (800-850),1740.0489134955064,0.06779168982398713
Merchant 8,18,Very Good (740-799),2864.507817383139,0.06779168982398713
Merchant 8,18,Good (670-739),4367.791342567925,0.06779168982398713
Merchant 8,18,Fair (580-669),3746.9006153113028,0.06779168982398713
Merchant 8,18,Poor (300-579),1772.9133629177409,0.06779168982398713
Merchant 8,19,Exceptional (800-850),1858.0097697177598,0.06779168982398713
Merchant 8,19,Very Good (740-799),3058.6976428375633,0.06779168982398713
Merchant 8,19,Good (670-739),4663.891298479187,0.06779168982398713
Merchant 8,19,Fair (580-669),4000.9093396257936,0.06779168982398713
Merchant 8,19,Poor (300-579),1893.1021557014626,0.06779168982398713
Merchant 8,20,Exceptional (800-850),1983.9673917164039,0.06779168982398713
Merchant 8,20,Very Good (740-799),3266.051924706168,0.06779168982398713
Merchant 8,20,Good (670-739),4980.0643707584795,0.06779168982398713
Merchant 8,20,Fair (580-669),4272.137744591599,0.06779168982398713
Merchant 8,20,Poor (300-579),2021.4387498458973,0.06779168982398713
Merchant 8,21,Exceptional (800-850),2118.463893756547,0.06779168982398713
Merchant 8,21,Very Good (740-799),3487.463103734885,0.06779168982398713
Merchant 8,21,Good (670-739),5317.671349884428,0.06779168982398713
Merchant 8,21,Fair (580-669),4561.7531814583,0.06779168982398713
Merchant 8,21,Poor (300-579),2158.4754985736386,0.06779168982398713
Merchant 9,14,Exceptional (800-850),748.6956080180381,0.06696144286059107
Merchant 9,14,Very Good (740-799),1514.8853813931973,0.06696144286059107
Merchant 9,14,Good (670-739),2453.5566913362213,0.06696144286059107
Merchant 9,14,Fair (580-669),3021.8437191089492,0.06696144286059107
Merchant 9,14,Poor (300-579),1675.8863719454514,0.06696144286059107
Merchant 9,15,Exceptional (800-850),798.8293461943135,0.06696144286059107
Merchant 9,15,Very Good (740-799),1616.3242922997028,0.06696144286059107
Merchant 9,15,Good (670-739),2617.8503875283527,0.06696144286059107
Merchant 9,15,Fair (580-669),3224.1907346396993,0.06696144286059107
Merchant 9,15,Poor (300-579),1788.1061414813203,0.06696144286059107
Merchant 9,16,Exceptional (800-850),852.3201118148673,0.06696144286059107
Merchant 9,16,Very Good (740-799),1724.5556990427147,0.06696144286059107
Merchant 9,16,Good (670-739),2793.1454266704086,0.06696144286059107
Merchant 9,16,Fair (580-669),3440.0871982889225,0.06696144286059107
Merchant 9,16,Poor (300-579),1907.8403087027937,0.06696144286059107
Merchant 9,17,Exceptional (800-850),909.3926962810913,0.06696144286059107
Merchant 9,17,Very Good (740-799),1840.0344369440702,0.06696144286059107
Merchant 9,17,Good (670-739),2980.1784745597206,0.06696144286059107
Merchant 9,17,Fair (580-669),3670.4404006525974,0.06696144286059107
Merchant 9,17,Poor (300-579),2035.5920485211282,0.06696144286059107
Merchant 9,18,Exceptional (800-850),970.2869433509564,0.06696144286059107
Merchant 9,18,Very Good (740-799),1963.2457977550205,0.06696144286059107
Merchant 9,18,Good (670-739),3179.735525198315,0.06696144286059107
Merchant 9,18,Fair (580-669),3916.2183858141016,0.06696144286059107
Merchant 9,18,Poor (300-579),2171.8982291656494,0.06696144286059107
Merchant 9,19,Exceptional (800-850),1035.2587570665291,0.06696144286059107
Merchant 9,19,Very Good (740-799),2094.707569062689,0.06696144286059107
Merchant 9,19,Good (670-739),3392.6552038806735,0.06696144286059107
Merchant 9,19,Fair (580-669),4178.454019485389,0.06696144286059107
